Simulation Name	Brief Description	Fuller Description	Owner	Model Descriptors	Total Length of Run (in years)	Averaging period (in years)	Spinup period (in years)	Coastline name and code numner	CO2 (in ppmv)	CH4 (in ppbv)	N2O (in ppbv)	CFC11 (in pptv)	CFC12 (in pptv)	Computer used for simulation	Compiler used for simulation	Date of first entry in database	Date of most recent modification to entry in database
tExye	541_0_MaBP	This is the 541.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Fort, 499	2164.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
tExyd	535_0_MaBP	This is the 535.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Fort, 498	2140.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
tExyc	530_0_MaBP	This is the 530.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Fort, 497	2120.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
tExyb	525_0_MaBP	This is the 525.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Sta2, 496	2100.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
tExya	520_0_MaBP	This is the 520.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Sta3, 495	2080.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYz	515_0_MaBP	This is the 515.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Sta3, 494	2060.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYy	510_0_MaBP	This is the 510.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Sta4, 493	2040.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYx	505_0_MaBP	This is the 505.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Wuli, 492	2020.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYw	498_8_MaBP	This is the 498.8 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Guzh, 491	1992.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYv	495_5_MaBP	This is the 495.5 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Paib, 490	1970.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYu	491_8_MaBP	This is the 491.8 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Jian, 489	1946.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYt	485_4_MaBP	This is the 485.4 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Stag, 488	1904.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYs	481_6_MaBP	This is the 481.6 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Trem, 487	1879.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYr	475_0_MaBP	This is the 475.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Floi, 486	1836.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYq	470_0_MaBP	This is the 470.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Dapi, 485	1803.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYp	465_0_MaBP	This is the 465.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Darr, 484	1770.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
teXYo	460_0_MaBP	This is the 460.0 Ma simulation using the Scotese palaeogeographies. Extension of the tex[f..j] series.	ggpjv	HadCM3L, MOSES2_1, TRIFFID_dyn	500	100	400	Darr, 483	1738.0	760	270	0	0	bc4	Intel_v17_0.1_bc4	2019_11_25_08_19	2019_11_25_08_19
