r_number,biota,type,lon,lat,time
3985,Corals,Algae,-157.678,-19.8391,0.0
4061,Algae,Non-rudist bivalves,17.1081,39.0983,0.0
3963,Corals,Algae,45.3596,2.06332,0.0
3971,Corals,Algae,-157.682,21.4276,0.0
3812,Corals,Algae,125.005,24.9285,0.0
3811,Corals,Algae,-81.5732,24.6678,0.0
3810,Corals,Corals,114.616,-28.9,0.0
3809,Corals,Algae,131.175,25.4492,0.0
3807,Corals,Algae,57.4306,-20.3681,0.0
3806,Corals,Algae,46.2587,-9.51014,0.0
3804,Corals,Algae,145.252,-15.7309,0.0
3803,Corals,Algae,145.67,-15.6471,0.0
3802,Corals,Algae,39.9932,15.1467,0.0
3964,Corals,Algae,42.5262,0.346673,0.0
4275,"Serpulids, worms, vermetids",Non-rudist bivalves,-118.41,33.5,0.0
3801,Corals,Algae,-74.5065,24.0341,0.0
3404,Corals,Corals,114.317,-22.45,0.0
3269,Corals,Corals,120.059,22.6917,0.0
3814,Corals,Algae,-87.1103,20.5795,0.0
3820,Corals,Algae,-59.5276,13.0668,0.0
4078,Corals,Corals,33.5371,26.5676,0.0
3238,Corals,Algae,-69.5109,18.4169,0.0
3750,Corals,Algae,-87.9897,17.0018,0.0
4077,Corals,Corals,36.1161,19.2465,0.0
3959,Corals,Algae,167.169,-16.0509,0.0
3960,Corals,Algae,167.686,-16.351,0.0
3961,Corals,Algae,167.369,-16.2176,0.0
3819,Corals,Algae,-64.611,11.8501,0.0
3818,Corals,Corals,72.9749,4.28326,0.0
3816,Corals,,112.88,9.53914,0.0
3255,Corals,Algae,-157.932,21.3109,0.0
4065,Corals,Algae,-59.3286,13.1604,0.0
3962,Corals,Algae,125.054,24.7388,0.0
3815,Corals,Algae,-76.3109,17.867,0.0
3813,Corals,Corals,34.5666,29.2856,0.0
3372,Corals,Corals,9.60696,43.2237,0.0
3980,Corals,Algae,167.02,-15.6675,0.0
3981,Corals,Algae,-80.0895,19.6513,0.0
3344,Corals,Algae,163.197,11.1293,0.0
3982,Corals,Algae,-148.384,-18.0208,0.0
3544,Corals,Algae,69.0026,22.4022,0.0
3983,Corals,Algae,-148.549,-18.3214,0.0
3984,Corals,Algae,-148.836,-17.9773,0.0
3986,Corals,Algae,-157.773,-20.1851,0.0
3987,Corals,Algae,-157.027,-20.3288,0.0
4010,Corals,Algae,167.904,-22.2229,0.0
4009,Corals,Algae,167.88,-21.5631,0.0
3988,Corals,Algae,53.9031,26.4469,0.0
3989,Corals,Algae,56.2087,26.972,0.0
3990,Corals,Algae,-110.934,25.298,0.0
3991,Algae,Algae,-25.1021,36.9667,0.0
3967,Corals,Algae,45.1427,-12.8034,0.0
3979,Corals,Algae,167.414,-22.5799,0.0
3978,Corals,Algae,166.464,-22.5135,0.0
3751,Corals,Algae,-69.061,12.2835,0.0
3972,Corals,Algae,-155.377,20.5004,0.0
3800,Corals,Algae,-77.3275,18.5003,0.0
4242,Corals,Foraminifera,112.2,16.51,0.0
3973,Algae,Algae,-156.666,20.6444,0.0
3965,Corals,Algae,55.7257,-4.32056,0.0
3974,Corals,Algae,167.213,-20.9133,0.0
